delay_model,arch_tag,arch,pipeline_stages,bw_global,n_bounds,codegen_clock_ps,xls_crit_path_ns,flop_count,core_area_um2,die_area_um2,stdcell_util,power_mw,pnr_crit_path_tt_ns,pnr_crit_path_ss_ns,max_slew_viol_ss,has_pnr
sky130,parallel,parallel,1,4,2,907,0.907,17,1670.35,3274.07,0.701873,0.23652617528568953,,5.371126,0,True
sky130,parallel,parallel,1,4,4,1549,1.549,26,2757.64,4841.22,0.699183,0.4122426325920969,3.4103329999999996,6.8470580000000005,0,True
sky130,parallel,parallel,1,4,8,2347,2.347,43,4977.27,7568.14,0.680493,0.9799918625503778,5.327982,10.14903,22,True
sky130,parallel,parallel,1,4,16,3836,3.836,76,8593.24,11956,0.72452,3.662859322503209,6.907491,12.973524,0,True
sky130,parallel,parallel,1,8,2,1168,1.168,33,3077.95,5338.3,0.717886,0.4595947975758463,4.505549,8.766266,11,True
sky130,parallel,parallel,1,8,4,1809,1.809,50,5009.8,7589.94,0.686563,0.8201294695027173,4.760041,9.313403,11,True
sky130,parallel,parallel,1,8,8,2608,2.608,83,8593.24,11968.1,0.71025,1.7861961387097836,5.534658,10.429187,0,True
sky130,parallel,parallel,1,8,16,4716,4.716,148,15712.6,20166.5,0.752668,5.735799670219421,8.523497,16.305035,5,True
sky130,parallel,parallel,1,12,2,1324,1.324,49,4723.28,7395.68,0.714702,0.7441294146701694,5.029031,9.962858,11,True
sky130,parallel,parallel,1,12,4,1966,1.966,74,8134.05,11484.6,0.706661,1.2414571829140186,5.336121,10.361133,7,True
sky130,parallel,parallel,1,12,8,2764,2.764,123,13719.4,17876.4,0.701961,2.414531307294965,6.369379,11.725961,11,True
sky130,parallel,parallel,1,12,16,4873,4.873,220,24034.3,29393.8,0.696288,11.21263112872839,9.260477,17.492671,41,True
sky130,parallel,parallel,1,16,2,1438,1.438,65,6643.87,9599.79,0.696234,0.9309895685873926,5.35916,10.246235,0,True
sky130,parallel,parallel,1,16,4,2079,2.079,98,10697.8,14420.5,0.708889,1.6900704940780997,6.233765,11.897245999999999,14,True
sky130,parallel,parallel,1,16,8,2878,2.878,163,18024.8,22979.6,0.728724,4.136917646974325,7.499727,14.047307,68,True
sky130,parallel,parallel,1,16,16,4986,4.986,292,32453.6,38870.9,0.697856,16.27049595117569,9.151471,17.161166,121,True
